genes	logFC	AveExpr	t	P.Value	adj.P.Val
Upk1b	12.7628490127305	2.92861180773178	28.6925006902048	1.82437090063087e-13	6.40057003531289e-12
Rnf150	3.01103352900905	3.69576090231339	27.8900460250375	1.87579831170312e-13	6.5661409525012e-12
Stk39	10.7142507829218	0.318946934932036	28.4774604266303	1.92531605608737e-13	6.69414261922574e-12
Id3	2.54695200988003	6.44888889933495	27.7778925468142	1.94524623942663e-13	6.74830725610487e-12
Tmsb4x	1.40450741327393	9.19522572015115	27.6289575852495	2.04772356697995e-13	7.0721713481421e-12
Wisp1	1.67279219564872	7.55613494359604	27.5880738721628	2.09116958652976e-13	7.19019219031419e-12
Selenop	4.86821483437535	2.13493271897824	27.8279093789522	2.10581354575128e-13	7.22452448096574e-12
Bmpr1b	9.57852156300978	-1.56731862032483	28.1690389358234	2.1542498061069e-13	7.32586661037275e-12
Pisd-ps1	1.98090555470758	5.42530360106197	27.3981648396321	2.29733399446777e-13	7.77583658493824e-12
Raet1d	4.47439638585714	1.66547398832679	27.5984879601957	2.30161152543152e-13	7.77583658493824e-12
Serpinb9	1.5643585500468	5.21016779474713	27.3718752210835	2.31537986246118e-13	7.8028510281142e-12
Podxl	2.69571770037607	5.91160845803353	27.3996915174223	2.33760163170044e-13	7.84614469757116e-12
Esrp2	4.29100471577065	1.90909463380217	27.4412688619758	2.45772651397246e-13	8.19612151659589e-12
1700048O20Rik	8.65828911293462	-2.00664723825098	27.5989822300709	2.73690082939827e-13	8.97275288826193e-12
Dlc1	1.6102377760499	6.66026088307966	26.8598882955015	2.96311957181291e-13	9.59271298540768e-12
Bcar3	2.03779873902911	3.73135698277924	26.8576797069106	2.98225497564197e-13	9.63454748068335e-12
Syvn1	1.59005263858215	6.85768506959554	26.7215205415532	3.16910482065565e-13	1.01279806931732e-11
Dnajb9	2.23666133003315	4.05059616608984	26.7352071482388	3.1783345662982e-13	1.01279806931732e-11
Cystm1	2.05040772265946	4.78507214442667	26.7258010071046	3.18070974242301e-13	1.01279806931732e-11
Col11a1	2.60942674674107	4.24484533571763	26.7260260117127	3.22555897570798e-13	1.02287818070151e-11
Klhl13	9.9961202246497	-1.37752054786851	27.2657136051144	3.3359558229801e-13	1.05555488355574e-11
Cdh11	8.20532152721644	1.31603000064699	27.1446873647454	3.34889802106382e-13	1.05555488355574e-11
Fzd7	1.80427025741223	5.06806346949132	26.6086079751016	3.35582999673038e-13	1.05555488355574e-11
Mat2b	1.38096407989025	5.97663125857048	26.5894255268291	3.37694697501192e-13	1.059352314101e-11
Vat1l	12.9898708364205	1.21729717443418	27.3779867736112	3.38156571535434e-13	1.059352314101e-11
Pir	9.11200760163268	-1.80693408206599	27.1769361486688	3.39450906107377e-13	1.06056119395421e-11
Scube3	5.40152265993546	1.38925652124999	26.8783825033225	3.39910307213027e-13	1.06056119395421e-11
Enpp5	2.51421822258661	2.58746206181441	26.4833049053993	3.62241321141648e-13	1.11453892201261e-11
Nbl1	2.89981930574412	2.73420933250163	26.4783663183391	3.67887799565224e-13	1.12967051640751e-11
Lgals9	1.771059816083	5.7705278954286	26.4034682790189	3.71066202676674e-13	1.1371785780449e-11
Anxa1	1.27905851778385	9.62311214049838	26.3614491072868	3.77701127939754e-13	1.15522907119562e-11
Evpl	5.78651880284285	1.34783393052347	26.6878858249977	3.79668409203844e-13	1.15896024045748e-11
Zfp704	4.26679889964999	2.57479722118244	26.5265837199324	3.82077740039607e-13	1.1640234803132e-11
Mal2	9.63424522747427	-1.63190005728692	26.871399963758	3.99467188795764e-13	1.20751222157035e-11
Ica1	3.55634468541885	2.57294676683002	26.3118175219826	4.10638751664195e-13	1.23406494613501e-11
Steap1	1.54616461722791	4.86796074225868	26.1514304661306	4.19655169679942e-13	1.25629203015963e-11
Zfp105	8.30609682161299	-2.21826064987695	26.5957705377922	4.38701291718016e-13	1.30324538901748e-11
Kank1	11.3302312325658	-0.133057266885258	26.7526979062768	4.4180317368602e-13	1.30995063371876e-11
Atoh8	4.10630934870399	2.90212863565821	26.192859930635	4.47146008803016e-13	1.31635373828717e-11
Fam184a	11.4971078772835	-0.0907423494876336	26.7022159300359	4.54530627307515e-13	1.33412285678661e-11
Ctgf	1.40580757167206	8.00221930513109	25.9397091762989	4.6620748274099e-13	1.3589247058016e-11
Ap1s3	4.58990506949245	1.43031098987997	26.0667957134013	4.87577102016997e-13	1.41589103389093e-11
Kif5c	4.68793495408124	1.44461152138992	26.0378000204239	4.9708278848592e-13	1.4381087315394e-11
Sh3rf2	5.23865000043768	1.01689352376553	26.0588699107271	5.05143903518297e-13	1.45870884764585e-11
Hs6st2	2.21344012629603	6.52485567301049	25.7611261379474	5.15280731069813e-13	1.48521529678431e-11
Gm2a	1.34689940018686	5.54167642568749	25.6985993608564	5.26395447778799e-13	1.51163226087145e-11
Ncald	8.14893376494752	-2.39086625828753	26.2049123182787	5.29327102238935e-13	1.51724128917175e-11
Zmat4	8.23836918868416	-2.19342949005186	26.1823486182898	5.36937263537076e-13	1.53621515602757e-11
Fam131b	1.87464409015049	4.38274617851693	25.6544066571868	5.40572840366181e-13	1.54376851483579e-11
S1pr5	10.0116592373362	-0.945726764075332	26.0681765003286	5.99659511442242e-13	1.69998538280345e-11
Ptprb	12.9432707454457	1.08007985011262	26.1891009515895	6.03011281168461e-13	1.7063678717298e-11
Scel	11.5845472442957	-0.0153843133343302	26.1177082931015	6.07821354749698e-13	1.71684622005529e-11
Shank3	8.13265298719342	-2.28457305652384	25.8146320264013	6.43337499150695e-13	1.80076436811008e-11
Epdr1	1.40017262874841	5.36395059937281	25.2846942464806	6.50416116756098e-13	1.81729778784447e-11
Lrrc75b	6.38198518558255	0.699672190548599	25.5985971261763	6.71083286448335e-13	1.86496210088787e-11
Ptgis	10.637100428123	2.25846617546693	25.8361616103878	6.84730512567588e-13	1.89948408915664e-11
Txnip	1.82670986263184	4.09742723545518	25.0712027327784	7.28732169601272e-13	2.010756183987e-11
Ppp2r2b	9.7120027265095	-1.55428121283724	25.6098838283255	7.49451588040299e-13	2.05331197451253e-11
Folr1	6.27671747428522	0.496685564657002	25.3683675608654	7.5149253062869e-13	2.05527242900513e-11
Frmd4b	12.6245958128175	1.50906862797288	25.6901478995931	7.70139857369793e-13	2.0966045966769e-11
Mycn	4.66541986137215	0.697260578152648	25.1738308335874	7.70661391697835e-13	2.0966045966769e-11
Ddr1	1.37923935845139	7.55035149350165	24.9394570000156	7.7775134539102e-13	2.10851011418972e-11
Tpd52l1	5.31560890770152	1.24347322213881	25.2168898515952	7.77757003492951e-13	2.10851011418972e-11
Flt4	8.72365293501732	1.61358779090733	25.3979148336771	8.10954839604689e-13	2.18703942569564e-11
