genes	logFC	AveExpr	t	P.Value	adj.P.Val
Wnt4	6.3538386101717	1.17304686493988	21.972792768131	4.87386358531357e-12	9.27349725367577e-11
Prkab2	1.31787127409275	4.80016451038009	21.6375185281023	4.90453346413439e-12	9.29762841422151e-11
Loxl2	1.17605560829734	6.67714280081289	21.6208609959443	4.9522023100362e-12	9.35369077000381e-11
Hoxb13	8.30982210064804	-2.12953325207545	22.0326076057901	5.06962457967245e-12	9.52905070993706e-11
Aldh1a7	8.84989269266694	-1.68764119174313	22.0381646741998	5.14208967564607e-12	9.63023968601975e-11
Prr5l	2.3342781138566	1.99803212223781	21.5629782274329	5.1985140563309e-12	9.72416857316324e-11
Nov	4.75844223679742	1.06732399279783	21.6578786390535	5.45534168722985e-12	1.01677864836386e-10
9930111J21Rik2	3.97985103095401	1.79015500642239	21.5178438240815	5.70942319669173e-12	1.05938590393435e-10
Glis3	4.09088204737198	1.67022014465417	21.4199100778542	6.08922324747646e-12	1.12041579232802e-10
Tspan12	8.71232192020909	-1.83783882902591	21.7444518474382	6.09099082673088e-12	1.12041579232802e-10
Bicc1	12.1934770053692	1.13069649435061	21.8925672337557	6.09809072499419e-12	1.12041579232802e-10
Jag2	6.08120076526212	1.21744207317169	21.5593793745504	6.15820607629617e-12	1.13012191272337e-10
Gm9855	1.67593959388869	4.17401669836809	21.2544763038519	6.1901218370865e-12	1.13463616226596e-10
Adam22	3.2865280953388	1.36640676196051	21.3281085373427	6.19782232791265e-12	1.1347063853476e-10
Kit	7.10356225349914	-2.7920427150828	21.6135168557997	6.22169113906127e-12	1.1377330718564e-10
Sptb	3.8904792387312	1.67316601224707	21.3341053603158	6.35107427289902e-12	1.15866010293935e-10
Tceanc2	1.64330122366383	3.70551229177836	21.188803735786	6.4405866358716e-12	1.17223212397255e-10
Plxnb3	10.388122729066	0.514588035869803	21.6743811734564	6.66147649766584e-12	1.20959620666633e-10
Arap2	2.43906549109385	4.21890489371198	21.1439764747556	6.71758371373613e-12	1.21835755144919e-10
Aim2	8.75812915456661	0.197387105186134	21.5702416485102	6.76886644687732e-12	1.22519070808317e-10
Tpk1	1.73719066888086	3.15567877951335	21.1083141248078	6.77106104873462e-12	1.22519070808317e-10
Fbxo2	3.12442247793234	2.32404632767885	21.1206734574952	6.98319081725208e-12	1.25916674422242e-10
Fam46c	3.10724187015457	1.28427783503208	21.0918461844468	7.10236134989287e-12	1.27916745009046e-10
Ccdc149	9.06918783326682	-1.67046085362668	21.5028844673803	7.11642332073761e-12	1.28021318369696e-10
Col5a2	1.18878245070779	10.414789462853	20.9718490879543	7.3406214562266e-12	1.31901525981119e-10
Siglecg	1.41603672176653	5.15791298025468	20.9664394002347	7.36956456091157e-12	1.32268330608861e-10
Zfp286	5.27157467796008	0.855098121284469	21.1754793450352	7.48366628013653e-12	1.34160939891419e-10
Arxes2	3.99820956501929	1.05135506697081	21.0302666688251	7.68423167406295e-12	1.37438731914295e-10
Rbpms	8.04884896875561	0.581744420652636	21.3119828536796	7.72624406132638e-12	1.38030952372106e-10
Zfp185	3.45009075198603	2.19231470626405	20.9726542372121	7.75677861008191e-12	1.38416991837215e-10
Ugp2	1.18375605263718	6.36744810982602	20.8632842041208	7.84891518284881e-12	1.39900146828088e-10
Satb1	8.86754660250662	-0.895012982011977	21.3245357226747	7.87672184519623e-12	1.40234587432214e-10
Nrk	7.62271208097217	-2.60649190428328	21.219676531466	8.04886301915496e-12	1.42729176399148e-10
Mmrn1	9.60958923744186	-1.60117195213192	21.3212335734347	8.06797740523871e-12	1.42819778108489e-10
Lyn	8.05416000148766	-2.20403057952769	21.1953038267371	8.29595028807169e-12	1.46354153716869e-10
H60b	6.90188307304193	-2.86669677833131	21.1003338642941	8.42081971285875e-12	1.48388240099205e-10
Anks6	3.30526602664804	2.14779962303314	20.7974597314198	8.58779770235209e-12	1.51073437300356e-10
Lpl	10.403787759847	1.74035797921261	21.2525352225173	8.59268534848221e-12	1.51073437300356e-10
Gm13293	7.48078345661128	-2.67073210973673	21.0706830720458	8.76994525216556e-12	1.53113235388696e-10
Fras1	8.13309258909764	0.962930076732245	21.1037494447708	8.79715802042013e-12	1.53278122946803e-10
Atp8a1	3.25547438397372	2.01734829077141	20.750163598519	8.82454265287059e-12	1.53582696877738e-10
Gm15663	6.95443305958244	-2.89664656228635	21.0202209569418	8.86365839341989e-12	1.53917973915747e-10
Gabre	2.24581357010592	3.59246302884787	20.6776457561191	8.91201805854506e-12	1.54584635384629e-10
