genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ercc6	319955	0.353982439778051	4.85021606290553	8.01763095315809	7.13630848420474e-07	1.86163460832817e-06	4.77678897451631
Psme3	19192	0.243660544276301	7.77505486131906	8.01433579611052	7.17325585122862e-07	1.8702708847384e-06	4.48513410177229
Ddx18	66942	0.284298400187875	6.60253801320071	8.01413942506506	7.17546402418359e-07	1.87051271706631e-06	4.54959710464309
Hnrnpdl	50926	0.297169350654196	8.25911203266658	8.01374231995992	7.17993161506261e-07	1.87134334706646e-06	4.46454149209977
Yif1a	68090	0.377193937786563	5.43897276899644	8.0133467641542	7.1843846820553e-07	1.87216989591614e-06	4.67079525363686
Tmem87b	72477	0.37664861355189	5.23736381421751	8.01203094503271	7.19921873893635e-07	1.87570083661977e-06	4.70294518741013
Nkapl	66707	4.1919265635235	-3.60318103045743	8.01009195685155	7.22113686633391e-07	1.88074046129945e-06	6.22082507146264
Gucy1a2	234889	3.72362410262252	-2.27387132488365	8.00848136458647	7.23939615654111e-07	1.88482389059607e-06	6.25137715627143
Hspe1	15528	0.380254089634189	7.53364721888734	8.0020879160607	7.31235869636211e-07	1.90314168066759e-06	4.47580136335202
Ing3	71777	0.366575949007093	4.84713770358194	7.99611030057025	7.38127494315304e-07	1.91945378880964e-06	4.73344402752384
Hadhb	231086	0.340374354460651	4.86668131534848	7.99202134485565	7.4288096358961e-07	1.93069739398396e-06	4.7201014718235
6330549D23Rik	229613	1.49468493091831	0.149023900042201	7.98716096144764	7.48573106447974e-07	1.94514477722454e-06	5.95012154051028
L3mbtl2	214669	0.336855797110641	6.07254728218491	7.98187581648989	7.54814749712582e-07	1.96066587841045e-06	4.54389227346274
Cc2d1b	319965	0.347829411536497	6.22246848283465	7.98070225922761	7.56208101384576e-07	1.96336857470811e-06	4.52930198160947
Nol8	70930	0.301787812268903	6.02215648817691	7.97564807077689	7.62239842014399e-07	1.97784244669787e-06	4.53666099951927
Sra1	24068	0.392247788059009	5.85147938223697	7.97336037134627	7.6498661598828e-07	1.98426469776679e-06	4.55636940331625
