genes	entrezID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ahcy	269378	-2.12555929050789	7.09877378287116	-57.2853087918883	2.49359364041691e-19	5.7811791606237e-17	34.6950830030714
S100a4	20198	-2.67236653418016	7.28959914283803	-57.1026639959366	2.61837458602532e-19	5.78241493718114e-17	34.643283288303
Eml1	68519	-2.13581557048322	5.96459242720277	-56.3549128830311	3.20299808721381e-19	6.79253261435339e-17	34.4789644976258
Mecom	14013	-2.90728763769486	4.47448559036296	-56.2951762109249	3.25535590171667e-19	6.79253261435339e-17	34.4728310111927
Afap1l2	226250	5.06542624042771	3.69654650921275	58.0964971131172	2.01115195830498e-19	5.06463543155216e-17	34.3965842184822
Pear1	73182	-3.43849512312357	5.92487883832497	-56.25104689086	3.53819691941391e-19	7.18349048962184e-17	34.3949947710993
Gm2115	100039239	-3.34485719852986	4.34986545256067	-55.9862224869568	3.54108801350659e-19	7.18349048962184e-17	34.3598611486658
Hspb8	80888	-5.83056689114989	3.53611439455934	-59.304663282125	1.4680305659017e-19	4.23324998068903e-17	34.3309270901378
Slco3a1	108116	-3.75157360007669	3.69593453703671	-56.3323841744547	3.22263788729969e-19	6.79253261435339e-17	34.2984201878393
Man2a2	140481	-2.24871224455426	6.49891345513666	-55.7322094074186	3.7960104861079e-19	7.59514098083451e-17	34.2852929565776
Nptxr	73340	-2.78591356489252	5.08991048641118	-55.5257658263518	4.0175825864844e-19	7.92983935921502e-17	34.2779776351889
Dsn1	66934	-1.96611164751416	6.37210307647759	-55.3542661635915	4.21212301626332e-19	8.12185104179715e-17	34.1825242161713
E2f1	13555	-2.33582681809152	6.43126801046644	-55.3422914171774	4.22607612745846e-19	8.12185104179715e-17	34.1783161188915
Uchl1	22223	3.78705853347468	4.76101996027395	54.7985870067045	4.91446763666972e-19	9.08616636724024e-17	34.0600417887101
Arhgef40	268739	-2.25864001347274	6.10127248637183	-54.8255938850674	4.87759624220557e-19	9.08616636724024e-17	34.0458728533235
Samhd1	56045	-1.64272574516449	8.54111683790429	-54.8845683632246	4.79810077233078e-19	9.08616636724024e-17	33.9848030364672
Irgm1	15944	2.61824984927719	4.70865901065496	54.437314544663	5.43728467105309e-19	9.80456542041993e-17	33.9752210182826
Maf	17132	3.48841465370636	4.51393320969323	54.4915927863681	5.35509557707227e-19	9.7770657498397e-17	33.9688247980335
Dcn	13179	5.7199625013184	3.66694570041894	57.1277078232575	2.60087854957613e-19	5.78241493718114e-17	33.9274122009336
Bcl2l1	12048	-2.37438616399121	6.70611955528322	-54.3130409324315	5.63056302044945e-19	1.00292687166689e-16	33.8748794038538
