genes	logFC	AveExpr	t	P.Value	adj.P.Val
Zfp882	0.803737961967294	0.356148911592615	1.15942441059145	0.133311218183822	0.396733635163546
Pigo	0.638529481047527	4.77990284241239	1.15935581692908	0.133322341660625	0.396733635163546
Hes6	0.65688121521393	3.62976401189471	1.15933920722282	0.133325609160211	0.396733635163546
Tcte2	-0.680651991903425	2.55544476036684	-1.15831912553162	0.133526399392673	0.397255626389982
Gm44200	0.913787869729135	-0.875971319177926	1.1582907865094	0.133600393114986	0.397397176903571
Tpd52-ps	-1.25963494581498	-3.20516864246037	-1.17476779611327	0.133624737284283	0.397397176903571
Tmem160	0.646983069327672	4.06334553367561	1.15560880344881	0.134061017518425	0.398618954102449
AC139941.1	0.902551762491605	-0.90893854453812	1.15440415964177	0.134353878087534	0.39941390223934
Pcdhgb2	0.815544584503384	-0.368793872733105	1.15325276244145	0.134531120118596	0.399864897269738
Casp14	0.81553507441159	-0.856951349844745	1.15228176848569	0.134723595572018	0.400360990599099
CT030643.1	-0.977111850781369	-2.38066726930635	-1.1467959696528	0.136057956738847	0.404145642690662
Akna	0.648878226537848	3.49175331062935	1.14548138294283	0.136073195602707	0.404145642690662
Gm13562	0.887104766644421	-0.826478392598833	1.14567127247257	0.13607568744004	0.404145642690662
Gm42928	-0.859367442804568	-0.502611299992017	-1.14544042605765	0.136100394297347	0.404145642690662
2310009B15Rik	-0.68008732297224	2.81131443805765	-1.14493283372746	0.13618284021752	0.404313786902907
Gm44507	0.940456493227175	-0.548009472188611	1.14425784620891	0.136450094677599	0.405030442172861
Gm43457	-0.861160867538511	-0.93464932636225	-1.14345302573847	0.136499351064056	0.405099855754547
Gm12941	1.02393412347174	-2.0863753226881	1.14525077440328	0.136614064085982	0.405363467018818
Rabggtb	-0.640715028442976	6.94700415112544	-1.14128810474163	0.136913062461846	0.406173689281468
Slc22a13b-ps	-0.926541971960845	-1.08270854876604	-1.14055041285313	0.137164569304951	0.406842740325237
Qrfp	-0.954990374588803	-2.33651826623761	-1.14029197267241	0.137291509561162	0.407142131952401
AI413582	-0.67032992308055	3.02639467740697	-1.13917592101711	0.137337603255292	0.407201702664527
4833445I07Rik	-0.903304643040451	-1.5911970133366	-1.13541374726392	0.138161307951631	0.409566406646467
Enkur	-0.843692931620529	-1.01599156014913	-1.1344743260708	0.138299132191837	0.409897371164071
Strada	0.649627710941795	4.5230665133013	1.13120867974068	0.138948011722061	0.411742613085547
Gm44949	0.914586439992106	-1.23451509479495	1.13067436715734	0.139143482201573	0.412243830522655
AC122734.1	1.03678962565356	-2.03445605962463	1.13120723606372	0.139590347681097	0.413489531591111
